Pollutant,RMSE,MAE,DataPoints
PM2.5,220.1473,180.381,48192
NO,16.8731,14.5064,48192
NO2,80.7284,68.6028,48192
NOx,111.974,95.1352,48192
NH3,46.9891,40.5831,48192
CO,8.0709,7.0657,48192
SO2,70.9136,61.5942,48192
O3,267.7847,232.6759,48192
Benzene,1.938,1.6559,48192
Toluene,30.138,25.962,48192
