Pollutant,RMSE,MAE,DataPoints
PM2.5,25.5794,19.3313,48192
NO,8.2185,5.5974,48192
NO2,8.4556,6.8243,48192
NOx,12.4178,8.8106,48192
NH3,4.598,3.5954,48192
CO,0.7367,0.65,48192
SO2,5.9771,5.2719,48192
O3,12.914,11.4469,48192
Benzene,1.1436,0.8684,48192
Toluene,2.8153,2.2972,48192
